u,v,length,elevation_gain,elevation_loss,slope_percent,grade_abs,highway,geometry,energy_joules,energy_wh
0,1,209.214,0.0,2.0,-0.9559589702409972,0.0095595897024099,residential,"LINESTRING (76.98860168457031 11.077969551086426, 76.9905014038086 11.07822322845459)",49260.34416,13.683428933333333
0,30,56.385,0.0,-0.0,0.0,0.0,residential,"LINESTRING (76.98860168457031 11.077969551086426, 76.98853302001953 11.078472137451172)",13275.284399999999,3.6875789999999995
0,34,90.995,0.0,4.0,-4.395845925600308,0.043958459256003,residential,"LINESTRING (76.98870086669922 11.077157020568848, 76.98860168457031 11.077969551086426)",21429.862800000003,5.952739666666667
1,9,124.244,0.0,2.0,-1.609735681401114,0.0160973568140111,residential,"LINESTRING (76.9905014038086 11.07822322845459, 76.99063110351562 11.077113151550293)",29255.00736,8.126390933333333
1,0,209.214,2.0,0.0,0.9559589702409972,0.0095595897024099,residential,"LINESTRING (76.98860168457031 11.077969551086426, 76.9905014038086 11.07822322845459)",80652.34416000001,22.403428933333334
1,14,55.754,1.0,0.0,1.7935932847867415,0.0179359328478674,residential,"LINESTRING (76.99044036865234 11.078721046447754, 76.9905014038086 11.07822322845459)",28824.22176,8.006728266666666
2,3,132.605,2.0,0.0,1.5082387541947893,0.0150823875419478,residential,"LINESTRING (76.99073028564453 11.076308250427246, 76.9895248413086 11.076157569885254)",62615.521199999996,17.393200333333333
2,15,80.102,0.0,-0.0,0.0,0.0,residential,"LINESTRING (76.99073028564453 11.076308250427246, 76.99070739746094 11.07558822631836)",18859.21488,5.2386707999999995
2,9,90.153,3.0,0.0,3.3276762836511264,0.0332767628365112,residential,"LINESTRING (76.99063110351562 11.077113151550293, 76.99073028564453 11.076308250427246)",68318.12232,18.9772562
3,4,75.647,1.0,0.0,1.321929488281095,0.0132192948828109,residential,"LINESTRING (76.9895248413086 11.076157569885254, 76.98883819580078 11.076064109802246)",33507.82968,9.307730466666667
3,2,132.605,0.0,2.0,-1.5082387541947893,0.0150823875419478,residential,"LINESTRING (76.99073028564453 11.076308250427246, 76.9895248413086 11.076157569885254)",31223.521199999996,8.673200333333332
4,5,73.954,0.0,2.0,-2.704383806149769,0.0270438380614976,residential,"LINESTRING (76.98883819580078 11.076064109802246, 76.98816680908203 11.075973510742188)",17414.72976,4.837424933333333
4,3,75.647,0.0,1.0,-1.321929488281095,0.0132192948828109,residential,"LINESTRING (76.9895248413086 11.076157569885254, 76.98883819580078 11.076064109802246)",17811.829680000003,4.947730466666667
4,8,89.206,0.0,-0.0,0.0,0.0,residential,"LINESTRING (76.98873901367188 11.076860427856445, 76.98883819580078 11.076064109802246)",21002.660640000002,5.8340724
5,6,88.25,2.0,0.0,2.26628895184136,0.0226628895184136,residential,"LINESTRING (76.98816680908203 11.075973510742188, 76.98736572265625 11.075864791870117)",52172.58,14.492383333333335
5,4,73.954,2.0,0.0,2.704383806149769,0.0270438380614976,residential,"LINESTRING (76.98883819580078 11.076064109802246, 76.98816680908203 11.075973510742188)",48806.72976,13.557424933333333
5,7,123.717,0.0,-0.0,0.0,0.0,residential,"LINESTRING (76.988037109375 11.077078819274902, 76.98816680908203 11.075973510742188)",29127.93048,8.0910918
6,19,81.212,0.0,-0.0,0.0,0.0,residential,"LINESTRING (76.98736572265625 11.075864791870117, 76.98726654052734 11.07658863067627)",19120.55328,5.3112648
6,5,88.25,0.0,2.0,-2.26628895184136,0.0226628895184136,residential,"LINESTRING (76.98816680908203 11.075973510742188, 76.98736572265625 11.075864791870117)",20780.579999999998,5.772383333333333
6,18,20.829,0.0,1.0,-4.800998607710404,0.048009986077104,residential,"LINESTRING (76.98738861083984 11.075678825378418, 76.98736572265625 11.075864791870117)",4905.47976,1.3626332666666667
7,5,123.717,0.0,-0.0,0.0,0.0,residential,"LINESTRING (76.988037109375 11.077078819274902, 76.98816680908203 11.075973510742188)",29127.93048,8.0910918
7,34,72.952,2.0,0.0,2.741528676389956,0.0274152867638995,residential,"LINESTRING (76.988037109375 11.077078819274902, 76.98870086669922 11.077157020568848)",48570.81888,13.491894133333332
7,20,89.699,3.0,0.0,3.344518890957536,0.0334451889095753,residential,"LINESTRING (76.98722076416016 11.076984405517578, 76.988037109375 11.077078819274902)",68211.23256,18.9475646
8,9,208.375,0.0,-0.0,0.0,0.0,residential,"LINESTRING (76.98873901367188 11.076860427856445, 76.99063110351562 11.077113151550293)",49059.81,13.627725
8,4,89.206,0.0,-0.0,0.0,0.0,residential,"LINESTRING (76.98873901367188 11.076860427856445, 76.98883819580078 11.076064109802246)",21002.660640000002,5.8340724
8,34,33.241,0.0,-0.0,0.0,0.0,residential,"LINESTRING (76.98870086669922 11.077157020568848, 76.98873901367188 11.076860427856445)",7826.261039999999,2.1739614
9,2,90.153,0.0,3.0,-3.3276762836511264,0.0332767628365112,residential,"LINESTRING (76.99063110351562 11.077113151550293, 76.99073028564453 11.076308250427246)",21230.122320000002,5.897256200000001
9,8,208.375,0.0,-0.0,0.0,0.0,residential,"LINESTRING (76.98873901367188 11.076860427856445, 76.99063110351562 11.077113151550293)",49059.81,13.627725
9,1,124.244,2.0,0.0,1.609735681401114,0.0160973568140111,residential,"LINESTRING (76.9905014038086 11.07822322845459, 76.99063110351562 11.077113151550293)",60647.00736,16.846390933333335
10,11,81.117,0.0,-0.0,0.0,0.0,residential,"LINESTRING (76.99015808105469 11.080753326416016, 76.99026489257812 11.080031394958496)",19098.18648,5.3050518
11,12,43.131,0.0,1.0,-2.3185180032922954,0.0231851800329229,residential,"LINESTRING (76.99026489257812 11.080031394958496, 76.99031829833984 11.079647064208984)",10156.26264,2.821184066666667
11,10,81.117,0.0,-0.0,0.0,0.0,residential,"LINESTRING (76.99015808105469 11.080753326416016, 76.99026489257812 11.080031394958496)",19098.18648,5.3050518
12,13,52.919,0.0,1.0,-1.8896804550350537,0.0188968045503505,residential,"LINESTRING (76.99031829833984 11.079647064208984, 76.99038696289062 11.07917594909668)",12460.74936,3.4613192666666666
12,11,43.131,1.0,0.0,2.3185180032922954,0.0231851800329229,residential,"LINESTRING (76.99026489257812 11.080031394958496, 76.99031829833984 11.079647064208984)",25852.26264,7.181184066666667
13,14,50.918,0.0,1.0,-1.963942024431439,0.0196394202443143,residential,"LINESTRING (76.99038696289062 11.07917594909668, 76.99044036865234 11.078721046447754)",11989.63392,3.3304538666666668
13,12,52.919,1.0,0.0,1.8896804550350537,0.0188968045503505,residential,"LINESTRING (76.99031829833984 11.079647064208984, 76.99038696289062 11.07917594909668)",28156.74936,7.821319266666667
14,1,55.754,0.0,1.0,-1.7935932847867415,0.0179359328478674,residential,"LINESTRING (76.99044036865234 11.078721046447754, 76.9905014038086 11.07822322845459)",13128.221759999999,3.646728266666666
14,13,50.918,1.0,0.0,1.963942024431439,0.0196394202443143,residential,"LINESTRING (76.99038696289062 11.07917594909668, 76.99044036865234 11.078721046447754)",27685.63392,7.690453866666667
14,33,96.776,3.0,0.0,3.099942134413491,0.0309994213441349,residential,"LINESTRING (76.98956298828125 11.078594207763672, 76.99044036865234 11.078721046447754)",69877.44144,19.4104004
15,16,135.897,2.0,0.0,1.4717028337638065,0.014717028337638,residential,"LINESTRING (76.99070739746094 11.07558822631836, 76.98947143554688 11.075438499450684)",63390.58968,17.608497133333334
15,35,83.176,0.0,3.0000000000000004,-3.6068096566317207,0.0360680965663172,residential,"LINESTRING (76.99070739746094 11.07558822631836, 76.99068450927734 11.074840545654297)",19587.457440000002,5.440960400000001
