id,name,lat,lon,description
1,Main Gate,11.081108,76.990124,
2,Admin Block,11.078097,76.989475,
3,Kore,11.078386,76.987391,
4,Boys Hostel,11.076086,76.989054,
5,Girls Hostel,11.077138,76.990992,
6,Kraft,11.079402,76.990596,
7,Auditorium,11.077702,76.987428,
8,F Block,11.076723,76.987653,
9,C Block,11.077786,76.986897,
10,B Block,11.078555,76.986688,
11,D Block,11.078707,76.986227,
12,A Block,11.079697,76.986661,
13,E Block,11.080313,76.986495,
14,Back Gate Parking,11.075106,76.986729,
15,Back Gate,11.075433,76.985329,
